Mach,alt_ft,PC,T3_K,P3_Pa,FAR,mdot_air3_kg_s,EINOX,EICO,EIUHC
0.2,0.0,0.3,584.2461266768144,968139.2949511517,0.015262783471757604,18.754260239348785,7.606888519692933,8.215510487287645,0.09649703554565643
0.2,0.0,0.55,650.2306043631596,1411873.3114685302,0.01894808584781024,25.35631632564242,20.916777870068728,3.8372503237770763,0.05455617405869462
0.2,0.0,0.8,702.8970331990248,1853438.2686333184,0.02198174263376331,31.564657406009825,23.082785027199286,2.315348114150137,0.015598423589287987
0.2,0.0,0.9,721.5318182932598,2030603.0713812185,0.02307099435676816,33.982603658801715,21.918719987839317,2.003951449729385,0.015447584147450923
0.2,0.0,1.0,738.9384912929016,2208752.124553716,0.024136036036707293,36.36971307918692,20.95510107947103,1.8149835061457977,0.015443792113848808
0.2,5000.0,0.3,573.893219741217,852285.521978698,0.015336165151471272,16.553504029122283,7.183135621840051,9.32794680986276,0.10843832365374145
0.2,5000.0,0.55,641.9711207251036,1262385.4740730124,0.01900524845139932,22.71262716214204,19.874294085353043,4.263780778719421,0.059904818215882324
0.2,5000.0,0.8,695.7281001896384,1668360.649195583,0.02207320546567143,28.43871299147751,22.252480873051415,2.583269973384049,0.05680793906578472
0.2,5000.0,0.9,714.5536810359557,1832052.9560300729,0.02319873708609788,30.672947476915756,21.133419789956825,2.244322384327984,0.017184755198501482
0.2,5000.0,1.0,732.0410683285174,1994826.3014105528,0.024317892423616417,32.84117286328115,20.18090782704302,2.0451933801457187,0.016975673940412692
0.2,10000.0,0.3,564.0294174603335,748902.6887150013,0.015425308204691733,14.577651699706635,6.7880437933940545,10.585377036903097,0.12010394672329766
0.2,10000.0,0.55,633.0316204831303,1121963.7319412294,0.019074571047351482,20.223760219731528,18.78548781622463,4.760310187760374,0.06611773803237485
0.2,10000.0,0.8,688.1500047411041,1495256.7865460585,0.022180586313599263,25.509413940463176,21.401603782639256,2.888998931532782,0.062247237521477664
0.2,10000.0,0.9,707.1328141235156,1644708.721834243,0.023351953049775998,27.54346360511724,20.32328071175719,2.523147283007532,0.019262801894689777
0.2,10000.0,1.0,725.335104256769,1796579.0907121894,0.02449444906602517,29.57215117537698,19.50942511585733,2.305576518476058,0.018771153196143593
