op_id,Mach,alt_ft,PC,time_s,dist_nm,T3_K,P3_Pa,FAR,mdot_air3_kg_s,EINOX,EICO,EIUHC
1.0,0.1,0.0,0.3,0.0,0.0,520.5379160763142,629219.5333800659,0.017,9.166745852104762,12.272086983450565,14.748373902800605,0.009180609138556036
2.0,0.1,0.0,0.475,0.0,0.0,603.4903372666988,1093665.2650622511,0.013380586764361496,7.335619870956333,12.134911531873513,4.130406280492765,0.010059504540732296
3.0,0.1,0.0,0.6499999999999999,0.0,0.0,619.5775205906169,1198352.5215693968,0.014431606328410873,7.84913027081874,13.119919472181289,3.8905587534717614,0.0037838340342876
4.0,0.1,0.0,0.8249999999999998,0.0,0.0,636.2157745016158,1311004.089341981,0.01551640649032613,8.38860710088675,14.616876908113273,3.4106306338138492,0.0012791935751469627
5.0,0.1,0.0,1.0,0.0,0.0,661.8606921630459,1472881.3297269559,0.01721975339513301,9.105233872875448,16.649682302554087,2.392041384444842,0.00025711629151751976
6.0,0.25,0.0,0.3,0.0,0.0,582.6481145916366,955706.4087132902,0.011844386772251443,6.648171787373728,11.715096964960813,4.281035329185505,0.03500783025065203
7.0,0.25,0.0,0.475,0.0,0.0,603.6292816235112,1095551.4269974288,0.013130188448372602,7.379833596739088,11.50249362200735,4.0469973900130976,0.012286274382007197
8.0,0.25,0.0,0.6499999999999999,0.0,0.0,619.5670293310957,1200509.0398223908,0.014173301146781744,7.8966167623227985,12.9071415510446,3.8603129521389232,0.004753457040417155
9.0,0.25,0.0,0.8249999999999998,0.0,0.0,635.7289101939391,1313606.8098126808,0.015228877879198544,8.44498189272118,14.859163111351002,3.4552938250656315,0.0016590873930648264
10.0,0.25,0.0,1.0,0.0,0.0,660.631760675599,1476478.549763353,0.0168807118445664,9.176319403453043,17.851631183669177,2.518658062486899,0.00033164073226283535
11.0,0.4,0.0,0.3,0.0,0.0,583.4165894680784,958489.3507949825,0.011417170619869868,6.717567719605533,9.506750414098539,4.173893392362304,0.04843240308474704
12.0,0.4,0.0,0.475,0.0,0.0,604.6482607369342,1098046.8726472354,0.012730809943115524,7.446551085138679,10.382243695117467,3.8944513077332865,0.01663888812978524
13.0,0.4,0.0,0.6499999999999999,0.0,0.0,619.5815656331149,1204863.2361533395,0.013687696716720295,7.98834723459193,12.222522698045921,3.7653497984161586,0.007234446243365025
14.0,0.4,0.0,0.8249999999999998,0.0,0.0,635.7390789479745,1317987.9112454471,0.014756039292004816,8.535928465387526,15.02763778862172,3.47685115327677,0.0025447107822007637
15.0,0.4,0.0,1.0,0.0,0.0,658.6750110035325,1482987.6046523403,0.01627054182843749,9.306941627666593,19.812928284753703,2.7236304200945765,0.0005468817918469705
16.0,0.55,0.0,0.3,0.0,0.0,584.3950534656033,963212.1805943446,0.010769288459252103,6.8282686473867455,6.5060656374900905,4.161236450614934,0.08308687044852682
17.0,0.55,0.0,0.475,0.0,0.0,605.9582132415264,1102398.5583180431,0.012127099972003948,7.552282691818112,8.451963388238903,3.664627068959724,0.025801048957513586
18.0,0.55,0.0,0.6499999999999999,0.0,0.0,620.7953002724581,1209716.4552777647,0.013077607701049043,8.100927477458605,10.928719582031482,3.5802435273705946,0.011873021912820978
19.0,0.55,0.0,0.8249999999999998,0.0,0.0,635.7921096686862,1324974.1764679973,0.014049495740458016,8.67797588255383,14.55417692164372,3.4198303169640596,0.004811418982102454
20.0,0.55,0.0,1.0,0.0,0.0,657.6000737397313,1491123.3459849004,0.01550165104874571,9.471100139724888,21.685758229023016,2.896912190664928,0.0010802348447104678
21.0,0.1,7500.0,0.3,0.0,0.0,554.2675589549149,727350.9871918241,0.01157699809384118,5.150200187037199,8.71880135539457,5.725628432890083,0.04800758400254115
22.0,0.1,7500.0,0.475,0.0,0.0,574.9319180068451,834544.1204244386,0.012813619079476831,5.720484848386803,8.986995937949306,5.152318427607875,0.016604801082481867
23.0,0.1,7500.0,0.6499999999999999,0.0,0.0,590.5541820886592,915532.8711984352,0.013803876762377045,6.128256381885342,10.590036653413476,4.895650202572205,0.0071946138221507085
24.0,0.1,7500.0,0.8249999999999998,0.0,0.0,606.8118414210669,1002176.1274332228,0.014847762726491439,6.550110068557198,12.9432915837476,4.48071429396644,0.0027652451389263647
25.0,0.1,7500.0,1.0,0.0,0.0,631.5984996575921,1126595.6234881887,0.016467568729074317,7.114304204480382,17.04889551166557,3.471240616897699,0.0006106151929908835
26.0,0.25,7500.0,0.3,0.0,0.0,554.6884862590648,728314.1969491241,0.011365120025128583,5.177189389080749,7.814246712965596,5.7009089441189005,0.05762681745771369
27.0,0.25,7500.0,0.475,0.0,0.0,574.9548270485899,835910.808450512,0.012576106107118104,5.754521583533426,8.345634188998662,5.064623465377171,0.019914831334078707
28.0,0.25,7500.0,0.6499999999999999,0.0,0.0,590.5366517793436,917130.9228521091,0.013560865365968055,6.164814653539093,10.196232062821892,4.833126420861607,0.008770496644452183
29.0,0.25,7500.0,0.8249999999999998,0.0,0.0,606.167228389066,1004288.4102574916,0.014564074037141977,6.596259023736671,12.833832969546274,4.489478894332966,0.0035453204194048726
30.0,0.25,7500.0,1.0,0.0,0.0,630.3945154925646,1129289.1174343403,0.016147330631184603,7.169350019363224,17.756074850115894,3.595875732465317,0.0007921186054369858
31.0,0.4,7500.0,0.3,0.0,0.0,555.4063024046947,730338.2795362838,0.010962422300833895,5.230392886345451,6.212122188335435,5.722946376124492,0.08317190577654289
32.0,0.4,7500.0,0.475,0.0,0.0,575.899574219446,837585.4609284707,0.012209814642418028,5.803880595904725,7.33806629487528,4.9227077734343325,0.026160011323231182
33.0,0.4,7500.0,0.6499999999999999,0.0,0.0,590.5362852356084,920362.7419067104,0.013103768563890263,6.2354514203689355,9.276049494095075,4.688552138357995,0.012611653262716179
34.0,0.4,7500.0,0.8249999999999998,0.0,0.0,606.1340427852431,1007372.6555017576,0.0141185744738979,6.666463931174847,12.470485858944777,4.445541588181083,0.005191625364007835
35.0,0.4,7500.0,1.0,0.0,0.0,628.4764489583641,1134156.9153659043,0.015570999106844004,7.270385347206154,18.702079932432657,3.772285712086024,0.0012973832589949887
36.0,0.55,7500.0,0.3,0.0,0.0,556.8098698876836,736160.8412540352,0.010380804702175868,5.329414423801125,4.272104660308519,5.9598249181751415,0.1478149143933456
37.0,0.55,7500.0,0.475,0.0,0.0,577.1262013599539,840707.0793144288,0.011645405207366712,5.884087023463752,5.749225721643611,4.747023492411033,0.040206784923878594
38.0,0.55,7500.0,0.6499999999999999,0.0,0.0,591.562628981397,923939.6018856128,0.012530253987053092,6.322111796532358,7.898826160743605,4.470042286836322,0.019428468045024218
39.0,0.55,7500.0,0.8249999999999998,0.0,0.0,606.161830582398,1012548.7593209168,0.013453518227794416,6.775812314017446,11.38669484206085,4.296564147130971,0.009026828972369243
40.0,0.55,7500.0,1.0,0.0,0.0,627.2408684825584,1140505.168597424,0.014833826137143956,7.400208416553598,19.167214293167877,3.8734981684598133,0.002491623039714314
41.0,0.1,15000.0,0.3,0.0,0.0,526.0537105800096,545843.6920547793,0.011083011776421053,3.9545934856952174,5.614329510836147,8.026658943648203,0.08752412298347187
42.0,0.1,15000.0,0.475,0.0,0.0,546.0179209861991,626970.2175537748,0.012266157523875535,4.3959900624076775,6.289110933691265,6.721654447928383,0.026707441776440667
43.0,0.1,15000.0,0.6499999999999999,0.0,0.0,561.1743552045033,688806.0687191454,0.013186025976561159,4.716888603028194,7.984927189033833,6.227203786336759,0.012229769238211206
44.0,0.1,15000.0,0.8249999999999998,0.0,0.0,576.8156556019278,753600.7148793909,0.014156081499898,5.047514973390143,10.650161569585585,5.779698733752881,0.005384687237415739
45.0,0.1,15000.0,1.0,0.0,0.0,600.9458565697978,848841.2786361561,0.0157116685496277,5.482338859829815,16.199920895834172,4.792922384087871,0.0013538346556264684
46.0,0.25,15000.0,0.3,0.0,0.0,526.4485563787579,546535.9542817017,0.010884588159267248,3.9749345386052424,4.994051745110506,8.101228249436053,0.10696356264181368
47.0,0.25,15000.0,0.475,0.0,0.0,545.9928152439876,628117.0570322515,0.012037450742868211,4.422977699382107,5.732246437668875,6.662859065499487,0.032322350978542774
48.0,0.25,15000.0,0.6499999999999999,0.0,0.0,561.1325232234208,689893.1430082432,0.01296401364460332,4.743721271083209,7.549332157201086,6.158738715009749,0.014554070779798927
49.0,0.25,15000.0,0.8249999999999998,0.0,0.0,576.0044816156993,755183.6912291264,0.013873816156352784,5.084619774502109,10.27584116762809,5.752688793990583,0.006799905510787527
50.0,0.25,15000.0,1.0,0.0,0.0,599.770976822126,850829.40751547,0.015410258513002024,5.524372555944999,16.413763571318157,4.8918595307053065,0.0017388370919029247
51.0,0.4,15000.0,0.3,0.0,0.0,527.5838633491468,549762.0146627177,0.010534174583357932,4.025307975272562,4.0159981829220355,8.295921770951217,0.1537816038669693
52.0,0.4,15000.0,0.475,0.0,0.0,546.880935342949,629340.127636713,0.011694636338594551,4.460606588591098,4.925919726987223,6.585743564826443,0.04311979171272061
53.0,0.4,15000.0,0.6499999999999999,0.0,0.0,561.0848074020238,692107.6792569895,0.012546104361956814,4.795571386642336,6.652112802794425,6.022004791484163,0.020189109094409297
54.0,0.4,15000.0,0.8249999999999998,0.0,0.0,576.181933816866,758403.7207208166,0.013478727850614072,5.134611705780175,9.658612913373698,5.645914664834722,0.00930691739527882
55.0,0.4,15000.0,1.0,0.0,0.0,597.9068309720246,854461.5248161788,0.0148691058646237,5.60131550125001,16.459912692562938,5.00453645228789,0.0027516273837153915
56.0,0.55,15000.0,0.3,0.0,0.0,527.9753847123437,550536.992973139,0.00993292875187556,4.079374238418312,2.64819217265172,9.172289164414805,0.29918149357485396
57.0,0.55,15000.0,0.475,0.0,0.0,548.0617433249948,631701.6375912105,0.011166200785723788,4.521823763630997,3.748637647655316,6.559658691999366,0.0694077754469107
58.0,0.55,15000.0,0.6499999999999999,0.0,0.0,561.5627084655318,693048.9029263245,0.011979557436598669,4.8662973316831915,5.355962514433637,5.874491674453905,0.03162340859703373
59.0,0.55,15000.0,0.8249999999999998,0.0,0.0,576.1618259130196,762060.5167694449,0.012865630246315343,5.215990684139931,8.368427146390482,5.456501710043769,0.015025525999023943
60.0,0.55,15000.0,1.0,0.0,0.0,596.4941671591841,859219.7677899678,0.014161397426468656,5.7028402535396046,15.817098551370592,5.009782737686705,0.005009621784933898
