Altitude_m,Airspeed_m_s,EM_Power_kW,RPM,Pitch,Efficiency,ViscousLoss
0.0,10.0,50000.0,0.0,0.0,0.0,0.0
0.0,10.0,322222.22222222225,680.4666604775967,13.0,0.35893960068504743,9180.528009837733
0.0,10.0,594444.4444444445,826.238291165075,13.0,0.30168185201736747,16434.74836045793
0.0,10.0,866666.6666666667,932.2323940579396,13.0,0.26924611591387043,23605.85173394354
0.0,10.0,1138888.888888889,1017.8985844090647,13.0,0.24724561845374493,30729.863832882005
0.0,10.0,1411111.1111111112,1090.8540693480481,13.0,0.23088759552334062,37822.22491575226
0.0,10.0,1683333.3333333335,1154.972662636388,13.0,0.21802162404514866,44891.30384298075
0.0,10.0,1955555.5555555557,1199.9766209358695,13.279296875,0.208627754241521,50346.05652623399
0.0,10.0,2227777.777777778,1199.7772747302918,14.447265625,0.20304189957037774,50320.96946710821
0.0,10.0,2500000.0,1200.0141280600224,15.5390625,0.197148139061749,50350.77760525319
0.0,28.88888888888889,50000.0,689.3486980038087,13.0,0.5985167846103536,9544.737384879676
0.0,28.88888888888889,322222.22222222225,788.8972048954574,13.0,0.5305160345689864,14305.67507507424
0.0,28.88888888888889,594444.4444444445,918.3266219413057,13.0,0.5619960637722996,22565.170963850484
0.0,28.88888888888889,866666.6666666667,1017.0350006676265,13.0,0.5527090874275411,30651.716649319005
0.0,28.88888888888889,1138888.888888889,1098.4109008125602,13.0,0.5375355106204962,38613.71683556341
0.0,28.88888888888889,1411111.1111111112,1168.4646423956694,13.0,0.522127093400847,46482.96583872998
0.0,28.88888888888889,1683333.3333333335,1200.4910400752522,13.736328125,0.5241544692475354,50410.83298652676
0.0,28.88888888888889,1955555.5555555557,1199.8889151559736,15.03125,0.5285252377991083,50335.01801761835
0.0,28.88888888888889,2227777.777777778,1199.9733547461856,16.09765625,0.5206038064653825,50345.645419917426
0.0,28.88888888888889,2500000.0,1199.766850537949,17.037109375,0.5076111749596518,50319.65784639806
0.0,47.77777777777778,50000.0,1113.5263659935479,13.0,0.01,40229.86903216869
0.0,47.77777777777778,322222.22222222225,1134.9793667990432,13.0,0.6583973962432421,42600.13779641539
0.0,47.77777777777778,594444.4444444445,1106.3598909148034,13.0,0.30531946784113806,39458.118536962094
0.0,47.77777777777778,866666.6666666667,1170.2436218034197,13.0,0.4248069991348238,46695.59923376874
0.0,47.77777777777778,1138888.888888889,1200.127645856388,13.86328125,0.553114862204065,50365.06806206948
0.0,47.77777777777778,1411111.1111111112,1200.1999200189778,15.310546875,0.6540574731028467,50374.16787494901
0.0,47.77777777777778,1683333.3333333335,1200.4144712267941,16.580078125,0.702364742332557,50401.18780021881
0.0,47.77777777777778,1955555.5555555557,1199.6801499056235,17.671875,0.7182978646719141,50308.74964980794
0.0,47.77777777777778,2227777.777777778,1200.3864161775584,18.53515625,0.7131860436569151,50397.65408384221
0.0,47.77777777777778,2500000.0,1200.1423386244717,19.296875,0.6995472076448965,50366.91789361054
0.0,66.66666666666667,50000.0,1199.9043709430382,16.529296875,0.01,50336.96314103337
0.0,66.66666666666667,322222.22222222225,1199.7751270726994,17.51953125,0.6922345663093725,50320.699236905624
0.0,66.66666666666667,594444.4444444445,1200.3378519698922,16.859375,0.1989457622209139,50391.537495665085
0.0,66.66666666666667,866666.6666666667,1200.1799272287353,17.51953125,0.42875106878955993,50371.65053584884
0.0,66.66666666666667,1138888.888888889,1200.010047638092,18.73828125,0.6798992318261566,50350.26398200388
0.0,66.66666666666667,1411111.1111111112,1199.680982412832,19.75390625,0.7817454211007037,50308.85438378842
0.0,66.66666666666667,1683333.3333333335,1200.0515390482299,20.56640625,0.8127521696507715,50355.48687748957
0.0,66.66666666666667,1955555.5555555557,1199.697763682452,21.251953125,0.8113641463134915,50310.9655906964
0.0,66.66666666666667,2227777.777777778,1199.5823596173507,21.8359375,0.7968948273184531,50296.4481056364
0.0,66.66666666666667,2500000.0,1200.0184405539007,22.3818359375,0.7828362253880673,50351.320444363424
0.0,85.55555555555556,50000.0,1000.2108221734287,25.03515625,0.01,29155.58450252776
0.0,85.55555555555556,322222.22222222225,999.876783012927,25.59375,0.01,29126.38309450455
0.0,85.55555555555556,594444.4444444445,1000.235586531035,26.634765625,0.47464730396457705,29157.750157552353
0.0,85.55555555555556,866666.6666666667,999.9738978772423,27.599609375,0.7400797961648525,29134.87077878501
0.0,85.55555555555556,1138888.888888889,1000.20672433931,28.3359375,0.8088541679775426,29155.226155296972
0.0,85.55555555555556,1411111.1111111112,999.6820628134471,29.021484375,0.8279726513189026,29109.36982605918
0.0,85.55555555555556,1683333.3333333335,999.8011847203037,29.732421875,0.8443741400757834,29119.777065462527
0.0,85.55555555555556,1955555.5555555557,1000.0047787619283,30.41796875,0.8498079179338582,29137.570064351286
0.0,85.55555555555556,2227777.777777778,999.7864312310325,31.078125,0.8464446212075218,29118.487973234543
0.0,85.55555555555556,2500000.0,999.7593764956885,31.712890625,0.8399370971299175,29116.12415339292
0.0,104.44444444444444,50000.0,1000.1074721871968,29.783203125,0.01,29146.547653947568
0.0,104.44444444444444,322222.22222222225,999.6663044612935,30.5703125,0.01,29107.993262989112
0.0,104.44444444444444,594444.4444444445,1000.1798152540199,31.23046875,0.22520524572570338,29152.873083652506
0.0,104.44444444444444,866666.6666666667,1000.0314605961067,31.94140625,0.5707667849366368,29139.90244687498
0.0,104.44444444444444,1138888.888888889,1000.15002051796,32.6015625,0.726973221800985,29150.2678232659
0.0,104.44444444444444,1411111.1111111112,1000.0802543242415,33.2109375,0.8008680138546935,29144.16805423816
0.0,104.44444444444444,1683333.3333333335,999.7103702743093,33.76953125,0.8325081090927514,29111.842719325126
0.0,104.44444444444444,1955555.5555555557,999.8498305572238,34.27734375,0.8450812923271445,29124.027785122486
0.0,104.44444444444444,2227777.777777778,999.5229653369993,34.78515625,0.8496787929447635,29095.473937233855
0.0,104.44444444444444,2500000.0,999.9607641926989,35.267578125,0.8514085074692147,29133.722819291845
0.0,123.33333333333334,50000.0,999.9277860464246,34.4296875,0.01,29130.840472739234
0.0,123.33333333333334,322222.22222222225,1000.2197308924409,34.98828125,0.01,29156.363561955044
0.0,123.33333333333334,594444.4444444445,1000.4843019675751,35.49609375,0.01395515949817873,29179.506389967868
0.0,123.33333333333334,866666.6666666667,999.6753336361833,36.029296875,0.40978156124748566,29108.78199679321
0.0,123.33333333333334,1138888.888888889,999.8800461506959,36.51171875,0.5997970628120912,29126.668260774644
0.0,123.33333333333334,1411111.1111111112,1000.185243705258,36.96875,0.7039502572262161,29153.34776572416
0.0,123.33333333333334,1683333.3333333335,999.7889620762769,37.42578125,0.7648457293725219,29118.709104181296
0.0,123.33333333333334,1955555.5555555557,999.857074784608,37.857421875,0.8029347701527955,29124.660828010925
0.0,123.33333333333334,2227777.777777778,999.8505756537068,38.2890625,0.8287184078870875,29124.09289558061
0.0,123.33333333333334,2500000.0,999.9690556588023,38.720703125,0.8474319875495839,29134.44753756135
0.0,142.22222222222223,50000.0,999.9927528224127,38.4921875,0.01,29136.518862050863
0.0,142.22222222222223,322222.22222222225,1000.4468976451451,38.8984375,0.01,29176.23377831692
0.0,142.22222222222223,594444.4444444445,1000.0482341679838,39.3046875,0.01,29141.368766083382
0.0,142.22222222222223,866666.6666666667,999.641024706297,39.685546875,0.2110497911713018,29105.78505312888
0.0,142.22222222222223,1138888.888888889,999.9275503946791,40.041015625,0.44450231107492333,29130.819877056587
0.0,142.22222222222223,1411111.1111111112,1000.1474031422196,40.396484375,0.5829860062092842,29150.03896658661
0.0,142.22222222222223,1683333.3333333335,999.5381478574612,40.77734375,0.6738451788638227,29096.79981774003
0.0,142.22222222222223,1955555.5555555557,999.8384728773304,41.1328125,0.7364987494527371,29123.03530320004
0.0,142.22222222222223,2227777.777777778,1000.2597624389164,41.48828125,0.782139657778515,29159.86445581192
0.0,142.22222222222223,2500000.0,1000.075382121688,41.869140625,0.8169958030635042,29143.74210162798
0.0,161.11111111111111,50000.0,999.9902555775076,41.919921875,0.01,29136.300577944185
0.0,161.11111111111111,322222.22222222225,1000.270550462444,42.25,0.01,29160.807952816675
0.0,161.11111111111111,594444.4444444445,999.8938319599184,42.580078125,0.01,29127.873025975183
0.0,161.11111111111111,866666.6666666667,999.656064016996,42.884765625,0.01,29107.098737299413
0.0,161.11111111111111,1138888.888888889,1000.3042007669476,43.1640625,0.29711306732212195,29163.751065792072
0.0,161.11111111111111,1411111.1111111112,1000.1444388922824,43.46875,0.4719187935478113,29149.77978155608
0.0,161.11111111111111,1683333.3333333335,1000.0809843678494,43.7734375,0.5877006904135308,29144.23187870334
0.0,161.11111111111111,1955555.5555555557,1000.1260518224366,44.078125,0.6692471877820954,29148.172106217226
0.0,161.11111111111111,2227777.777777778,1000.2908855872143,44.3828125,0.729186579597353,29162.586473807318
0.0,161.11111111111111,2500000.0,999.7820440264463,44.712890625,0.7751091125301907,29118.10464675779
0.0,180.0,50000.0,999.989509549437,44.916015625,0.01,29136.235367863083
0.0,180.0,322222.22222222225,1000.0744225961352,45.1953125,0.01,29143.65821553623
0.0,180.0,594444.4444444445,999.8348180297859,45.474609375,0.01,29122.71593201797
0.0,180.0,866666.6666666667,1000.1385152560356,45.728515625,0.01,29149.261841358577
0.0,180.0,1138888.888888889,1000.3575435635978,45.982421875,0.1329275211660169,29168.41692344363
0.0,180.0,1411111.1111111112,999.6648031642083,46.26171875,0.34810133545696126,29107.86212018789
0.0,180.0,1683333.3333333335,999.8199140966574,46.515625,0.4890936148622967,29121.41360727505
0.0,180.0,1955555.5555555557,999.961007059802,46.76953125,0.5878911719316718,29133.744046998472
0.0,180.0,2227777.777777778,1000.1032906259552,47.0234375,0.6601196017258263,29146.18206054547
0.0,180.0,2500000.0,1000.2601176910218,47.27734375,0.7145578174405626,29159.89552506207
1111.111111111111,10.0,50000.0,0.0,0.0,0.0,0.0
1111.111111111111,10.0,322222.22222222225,704.0303603761317,13.0,0.34848376183923413,9126.489710818583
1111.111111111111,10.0,594444.4444444445,855.2421879504996,13.0,0.29214964938377164,16360.514324315129
1111.111111111111,10.0,866666.6666666667,965.1736467963692,13.0,0.2603914826091526,23515.053484744763
1111.111111111111,10.0,1138888.888888889,1054.0146840182335,13.0,0.23890055784786643,30624.541029711007
